Month,Station,Number of operated trains,Number of trains arriving on time,Punctuality
2012-10,HUY,2113,1691,80.02839564600094
2012-12,DINANT,1620,1304,80.49382716049382
2012-10,ERQUELINNES,747,656,87.81793842034806
2012-10,JEMEPPE-SUR-SAMBRE,3986,3102,77.82237832413446
2012-12,EDINGEN,3003,2557,85.14818514818515
2012-10,FLEMALLE-HAUTE,3515,2519,71.66429587482219
2012-10,LA LOUVIERE-CENTRE,2238,1976,88.29311885612154
2012-12,EEKLO,354,354,100.0
2012-10,HALLE,11867,9745,82.11847981798263
2012-10,LEUVEN,10931,9342,85.46336108315799
2012-12,ETTERBEEK,6140,5240,85.34201954397395
2012-10,HASSELT,6809,5302,77.86752827140549
2012-10,LIEDEKERKE,6641,5503,82.86402650203283
2012-12,GENK,614,614,100.0
2012-10,JEMELLE,2760,2094,75.8695652173913
2012-10,NEERPELT,583,574,98.45626072041166
2012-12,GENT-SINT-PIETERS,11497,9831,85.50926328607463
2012-10,KORTRIJK,4645,4164,89.64477933261573
2012-10,SCHELLEBELLE,5863,4574,78.0146682585707
2012-12,GLONS,1055,917,86.91943127962085
2012-10,LA LOUVIERE-SUD,4589,3934,85.72673785138375
2012-10,TURNHOUT,991,958,96.67003027245207
2012-12,HALLE,11304,9492,83.97027600849258
2012-10,LANDEN,2948,2486,84.32835820895522
2012-10,VERVIERS-CENTRAL,3108,2641,84.97425997425997
2012-12,HASSELT,6051,4661,77.0285903156503
2012-10,LICHTERVELDE,2574,2151,83.56643356643356
2012-10,WALCOURT,1378,1296,94.04934687953556
2012-12,JEMELLE,2636,2171,82.35963581183611
2012-10,LIEGE-GUILLEMINS,9253,7680,83.00010807305739
2012-10,WAREMME,1897,1648,86.87401159725883
2012-12,LANDEN,2785,2487,89.29982046678634
2012-10,LIER,7907,6687,84.57063361578349
2012-11,AALST,4421,3980,90.0248812485863
